TT_chat_0001|{j iou4 sh iii4 w uei3 q v5 sh ou4 d uo1 l e5 y ie3 j iou4 x i2 g uan4 l e5 sp}|就是委屈受多了也就习惯了。
TT_chat_0012|{w uo3 j iou4 sh iii4 h uei4 z e5 b u2 t ai4 x iang3 y iao4 t ai4 w uen3 d ing4 d e5 g ong1 z uo4 y in1 w uei4 w uo3 q ian2 m ian4 y i3 j ing1 j iou4 sh iii4 z uo4 l ao3 sh iii1 z uo4 l e5 y iou3 y i4 n ian2 d uo1 k uai4 l iang3 n ian2 sh iii2 j ian1 b a5 sp r an2 h ou4 j iou4 sh iii4 j ve2 d e5 b u2 t ai4 x i3 h uan5 zh ei4 zh ong3 y i4 y ian3 j iou4 n eng2 w uang4 d ao4 t ou2 d e5 g ong1 z uo4 sp}|我就是会啧不太想要太稳定的工作因为我前面已经就是做老师做了有一年多快两年时间吧，然后就是觉得不太喜欢这种一眼就能望到头的工作。
TT_chat_0013|{j iou4 y i3 j ing1 t ai4 t ai4 sh u2 x i5 n ei4 zh ong3 m o2 sh iii4 l e5 sp d uei4 sp}|就已经太太熟悉那种模式了，对？
TT_chat_0014|{y ie3 h ai2 h ao3 sp j iou4 sh iii4 x in1 l i3 d e5 zh ei4 zh ong3 y iao4 d u2 l i4 d an4 sh iii4 q i2 sh iii2 y i1 f u5 d ou1 x i3 b u5 m ing2 b ai5 sp}|也还好，就是心里的这种要独立但是其实衣服都洗不明白。
TT_chat_0015|{en4 x iang4 n ei4 g e5 ei1 p i1 p i1 d uei4 b a5 sp j iou4 n ei4 zh ong3 x ia4 ch u2 f ang2 y ia5 sh en2 m e5 ei1 p i1 p i1 n ei4 zh ong3 sp}|嗯像那个APP对吧，就那种下厨房呀什么APP那种？
TT_chat_0016|{w uo3 w uo3 sh iii4 y i4 d ian3 r d ou1 b u2 h uei4 z uo4 f an4 sp k e3 n eng2 h uei4 zh u3 zh u3 zh eng1 g e5 m i3 f an4 b a5 j iou4 n ei4 g e5 g uo1 sp zh eng1 g e5 m i3 f an4 k e2 y i3 zh eng1 sp c ai4 b u2 h uei4 ch ao2 y ie3 b u2 h uei4 q ie1 sp}|我我是一点儿都不会做饭，可能会煮煮蒸个米饭吧就那个锅，蒸个米饭可以蒸，菜不会炒也不会切。
TT_chat_0017|{d an4 sh iii4 w uo3 y i4 d ian3 d ou1 b u2 h uei4 j iou4 sh iii4 q ie1 c ai4 sp w uo3 m a1 j iou4 sh uo1 w uo3 q ie1 d e5 n ei4 g e5 t u3 d ou4 s ii1 j iou4 x iang4 j iao3 zh iii2 t ou5 y i2 y iang4 c u1 sp j iou4 sh iii4 h en3 h en3 b u4 m ei3 g uan1 sp w uo3 w uo3 t ai4 h ai4 p a4 l e5 w uo3 p a4 q ie1 d ao4 w uo3 d e5 sh ou3 sp}|但是我一点都不会就是切菜，我妈就说我切的那个土豆丝就像脚指头一样粗，就是很很不美观。我我太害怕了我怕切到我的手。
TT_chat_0018|{w uo3 w uo3 q ie1 c ai4 d e5 sh iii2 h ou5 j iou4 sh iii4 y i2 g e5 sh ou3 c ang2 q i3 l ai5 zh iii3 y iong4 n ei4 g e5 y iou4 sh ou3 q v4 q ie1 j iou4 d uo4 sp x iang4 k an3 ch ai2 y i2 y iang4 p i1 ch ai2 sp}|我我切菜的时候就是一个手藏起来只用那个右手去切就剁，像砍柴一样劈柴。
TT_chat_0019|{r an2 h ou4 j ia1 l i2 l ao3 r en2 m a5 j iou4 h uei4 sh uo1 sp m ei2 g uan1 x i5 b u2 y iong4 x ve2 y i3 h ou4 h uei4 j iou4 sh iii4 zh ao3 d ao4 n a4 zh ong3 g ei2 n i3 z uo4 f an4 d e5 r en2 sp}|然后家里老人嘛就会说，没关系不用学以后会就是找到那种给你做饭的人。
TT_chat_0020|{w uo3 sh iii4 h ao3 x iang4 d uei4 zh ei4 x ie1 d ou1 y iou2 d ian3 g uo4 m in3 sp s uo2 y i3 j iou4 sh iii4 h uei4 d uei4 j iou4 sh iii4 x iang4 n ei4 zh ong3 z e5 b u2 g uo4 m in3 d e5 sp h uei4 h uei4 ch iii1 y i4 d ian3 x iang4 y iou2 y v2 y iou2 y v2 w uo3 k e2 y i3 ch iii1 sp}|我是好像对这些都有点过敏，所以就是会对就是像那种啧不过敏的，会会吃一点像鱿鱼鱿鱼我可以吃。
TT_chat_0021|{j iou4 sh iii4 sh en1 sh ang4 h uei4 y iang3 sp er2 q ie3 b u2 h uei4 h en3 y ian2 zh ong4 w uo3 d e5 g uo4 m in3 b u2 h uei4 h en3 y ian2 zh ong4 d an4 sh iii4 j iou4 sh iii4 h uei4 y iang3 sp h uei4 y iou3 y i4 x ie1 d i4 f ang5 y iang3 sp j iou4 sh iii4 f a1 h ong2 sp}|就是身上会痒，而且不会很严重我的过敏不会很严重但是就是会痒，会有一些地方痒，就是发红。
TT_chat_0022|{s uo2 y i3 j iou4 sh iii4 x iang4 n ei4 zh ong3 x ing1 w uei4 r b i3 j iao4 zh ong4 d e5 y i4 x ie1 h ai3 x ian1 d ou1 b u2 b u2 t ai4 n eng2 ch iii1 sp d an4 sh iii4 k e2 y i3 ch iii1 y iou2 y v2 sp h ai2 y iou3 sp en5 x ie4 h ao3 x iang4 y ie3 k e2 y i3 ch iii1 sp r an2 h ou4 x iang4 l ong2 x ia1 k e2 y i3 ch iii1 l ong2 x ia1 s uan4 h ai3 x ian1 m a5 sp}|所以就是像那种腥味儿比较重的一些海鲜都不不太能吃，但是可以吃鱿鱼，还有，嗯蟹好像也可以吃，然后像龙虾可以吃龙虾算海鲜吗？
TT_chat_0023|{r an2 h ou4 w uo3 h uei4 z ai4 j iou4 sh iii4 y iou3 y iou3 sh iii2 h ou5 h uei4 j ia1 y i2 f en4 r m ian4 sp j iou4 sh iii4 b a3 n ei4 g e5 m ian4 b an4 z ai4 x ia4 m ian5 w ua4 t ai4 x iang1 l e5 sp}|然后我会在就是有有时候会加一份儿面，就是把那个面拌在下面哇太香了。
TT_chat_0024|{w uo3 sh iii4 h uei4 b i3 j iao4 x i3 h uan5 ch iii1 x iang1 g uo1 sp h uo3 g uo1 sp m ao4 c ai4 zh ei4 zh ong3 d ong1 x i5 sp}|我是会比较喜欢吃香锅、火锅、冒菜这种东西。
TT_chat_0025|{n a4 n i3 sh iii4 b u5 sh iii4 f an4 l iang4 b u2 b u2 sh iii4 h en3 d a4 sp}|那你是不是饭量不不是很大？
TT_chat_0026|{y in1 w uei4 n i3 sh ou4 m a5 w uo3 j iou4 b u4 x ing2 w uo3 sh iii4 y iao4 k ong4 zh iii5 sp}|因为你瘦嘛我就不行我是要控制。
TT_chat_0027|{w uo3 ch iii1 h uo3 g uo1 j iou4 g an3 j ve2 z ii4 j i3 d u4 z ii5 x iang4 w u2 d i3 d ong4 sp j iou4 g an3 j ve2 z en3 m e5 ch iii1 zh e4 m e5 d uo1 h ai2 sh iii4 e4 n e5 y iou4 j ve2 d e5 z ii4 j i3 b u4 n eng2 z ai4 ch iii1 l e5 sp r an2 h ou4 y iou4 h uei4 j ve2 d e5 h ao3 b u5 r ong2 y i4 ch iii1 y i2 c ii4 j iou4 ch iii1 b a5 sp}|我吃火锅就感觉自己肚子像无底洞，就感觉怎么吃这么多还是饿呢又觉得自己不能再吃了，然后又会觉得好不容易吃一次就吃吧。
TT_chat_0028|{en4 sp w uo3 zh iii1 q ian2 y iou3 r en4 sh iii5 y i2 g e4 r en4 sh iii5 y i2 g e5 n an2 sh eng1 t a1 sh iii4 j ian4 sh en1 j iao4 l ian4 sp t a1 z ai4 ch iii1 sh ang4 j iou4 sh iii4 h uei4 k ao3 l v4 r e4 l iang4 sp}|嗯，我之前有认识一个认识一个男生他是健身教练，他在吃上就是会考虑热量。
TT_chat_0029|{j iou4 sh iii4 h uei4 b i3 r u2 sh uo1 sp t ong2 t ong2 y iong4 j iou4 b i3 r u2 sh uo1 m i3 f an4 sp d ou1 x van3 z e2 m i3 f an4 d e5 h ua4 t a1 j iou4 h uei4 z ai4 m i3 f an4 l i3 m ian5 j in4 x ing2 t iao1 x van3 h uei4 x van3 c ao1 m i3 sp}|就是会比如说，同同用就比如说米饭，都选择米饭的话他就会在米饭里面进行挑选会选糙米。
TT_chat_0030|{en4 n a4 b u2 sh iii4 sh uo1 er4 sh iii2 s an1 c uan1 y i4 c uan1 m a5 sp}|嗯那不是说二十三窜一窜吗？
TT_chat_0031|{n a4 w uo3 n a4 w uo3 m en5 l iang3 g e5 ch a4 b u5 d uo1 g ao1 ei5 sp w uo3 d e5 m u4 b iao1 m u4 b iao1 sh en1 g ao1 q i2 sh iii2 sh iii4 y iao1 w u3 sp y iao1 l iou4 w u3 d ao4 y iao1 l iou4 b a1 sp}|那我那我们两个差不多高诶，我的目标目标身高其实是幺五、幺六五到幺六八。
TT_chat_0032|{en4 sp w uo3 b a4 m a1 y ie3 b u4 g ao1 d e5 sp}|嗯，我爸妈也不高的。
TT_chat_0033|{d an4 sh iii4 q i2 sh iii2 n an2 h ai2 z ii5 x i3 h uan5 d e5 l ei4 x ing2 d ou1 h uei4 z ai4 y i1 l iou4 l ing2 d ao4 y i1 l iou4 w u2 y i3 n ei4 sp er2 q ie3 t a1 m en5 y iou4 g an3 j ve2 b u4 ch u1 l ai2 d ao4 d i3 sh iii4 d uo1 g ao1 sp}|但是其实男孩子喜欢的类型都会在一六零到一六五以内，而且他们又感觉不出来到底是多高。
TT_chat_0034|{j iou4 sh iii4 t ing3 q i2 g uai4 d e5 s uo2 y i3 t a1 k e3 n eng2 x i3 h uan1 zh ei4 y iang5 z ii5 d e5 sp t a1 z ii4 j i3 z e2 ou3 d e5 sh iii2 h ou5 b u4 y i2 d ing4 h uei4 x van3 z e2 zh ei4 zh ong3 sp}|就是挺奇怪的所以他可能喜欢这样子的，他自己择偶的时候不一定会选择这种。
TT_chat_0035|{en4 sp n i2 x i3 h uan1 d e5 n an2 sh eng1 j iou4 sh iii4 l ei4 x ing2 sh iii4 sh en2 m e5 y iang4 z ii5 d e5 sp}|嗯，你喜欢的男生就是类型是什么样子的？
TT_chat_0036|{en4 sp w uo3 sh iii4 b i3 j iao4 k an4 y ian2 zh iii2 d e5 sp}|嗯，我是比较看颜值的。
TT_chat_0037|{b u4 b u4 b u4 b u4 b u4 n a4 k en3 d ing4 b u4 x ing2 sp w uo3 j iou4 sh iii4 x i3 y ian2 zh iii2 w uo3 sh iii4 h uei4 h uei4 k an4 sp j iou4 sh iii4 zh ei4 g e5 c ai2 k ai1 sh iii3 j ian4 zh ei4 g e5 n an2 sh eng1 y ian2 zh iii2 k e3 n eng2 h uei4 sp ei5 y ing2 x iang2 w uo3 y van4 b u5 y van4 y i4 zh u3 d ong4 q v4 g en1 t a1 j in4 x ing2 x ia4 y i2 b u4 d e5 l iao2 j ie3 sp d an4 sh iii4 r u2 g uo3 sh iii4 zh ei4 g e5 zh ei4 g e5 n an2 sh eng1 t a1 zh ang3 d e5 en4 p u3 t ong1 d an4 sh iii4 t a1 x ing4 g e2 t e4 b ie2 h ao3 w uan2 r sp w uo2 y ie3 h uei4 x iang3 y iao4 q v4 r en4 sh iii5 t a1 sp j iou4 sh iii4 n an2 sh eng1 x ing4 g e2 y ie2 t ing3 zh ong4 y iao4 d e5 w uo3 y in1 w uei4 w uo3 q ian2 m ian5 b u2 sh iii4 y ie3 sh uo1 sp w uo3 j ve2 d e5 x ing4 g e2 h en2 x i3 h uan5 n ei4 zh ong2 h uo3 x iang4 x ing1 z uo4 m a5 sp j iou4 j ve2 d e5 t a1 t a1 t ai4 h ao3 w uan2 r t ai4 y iou3 y i4 s ii5 l e5 sp}|不不不不不那肯定不行，我就是喜颜值我是会会看，就是这个才开始见这个男生颜值可能会，诶影响我愿不愿意主动去跟他进行下一步的了解。但是如果是这个这个男生他长得嗯普通但是他性格特别好玩儿，我也会想要去认识他，就是男生性格也挺重要的我因为我前面不是也说，我觉得性格很喜欢那种火象星座嘛，就觉得他他太好玩儿太有意思了。
TT_chat_0038|{o2 n a4 n i3 h uei4 j ve2 d e5 h uei4 y iou3 y i2 h an4 m a5 j iou4 sh iii4 j ve2 d e5 z ii4 j i3 m ei2 y iou2 zh u3 d ong4 d e5 q v4 x i3 h uan1 g uo4 y i2 g e5 h en2 x i3 h uan5 d e5 r en2 sp}|哦那你会觉得会有遗憾吗就是觉得自己没有主动的去喜欢过一个很喜欢的人。
TT_chat_0039|{n i3 n i2 y i3 q ian2 d e5 x in1 s ii5 sh iii4 b u5 sh iii5 d ou1 p u1 z ai4 x ve2 x i2 sh ang4 l e5 sp}|你你以前的心思是不是都扑在学习上了？
TT_chat_0040|{n a4 n i3 g en1 q ian2 n an2 y iou3 h ai2 h uei4 y iou3 l ian2 x i5 m a5 h ai2 h uei4 z ai4 z ai4 ch u4 ch eng2 p eng2 y iou5 y i2 y iang4 m a5 sp}|那你跟前男友还会有联系吗还会在在处成朋友一样吗？
TT_chat_0041|{n a4 j ia3 r u2 sh uo1 r ang4 n i3 z ai4 m ing2 x ing1 l i3 m ian5 x van3 y i2 g e5 sp r ang4 n i3 z uo4 w uei2 n an2 p eng2 y iou5 n i3 h uei4 x van3 sh ei2 sp}|那假如说让你在明星里面选一个，让你作为男朋友你会选谁？
TT_chat_0042|{en4 sp s uan4 sh iii4 z uei4 z uei4 n an2 w uang4 d e5 b a5 sp y in1 w uei4 sh iii2 j ian1 h en2 j iou3 sp y iou2 w u3 n ian2 sp}|嗯，算是最最难忘的吧，因为时间很久，有五年。
TT_chat_0043|{r an2 h ou4 sp d uei4 y in1 w uei4 n ei4 g e5 sh iii2 h ou5 n ei4 g e5 sh iii2 h ou5 sh iii4 h ai2 sh iii4 x ve2 sh eng1 m a5 sp c ong2 ch u1 zh ong1 d ao4 g ao1 zh ong1 b i4 y ie4 sp j iou4 sh iii4 x ve2 sh eng1 sh iii2 d ai4 d e5 sp}|然后，对因为那个时候那个时候是还是学生嘛，从初中到高中毕业，就是学生时代的。
TT_chat_0044|{j iou4 y in1 w uei4 w uo3 n ei4 g e5 sh iii2 h ou5 b u2 h uei4 q v4 z en3 m e5 y iang4 d uei4 y i2 g e5 r en2 h ao3 b u2 h uei4 q v4 x i3 h uan5 y i2 g e5 r en2 sp j iou4 sh iii4 h en3 r en4 x ing4 d e5 y i4 x iao2 n v3 h ai2 r sp r an2 h ou4 n ei4 g e5 sh iii2 h ou5 m a5 j iou4 sh iii4 sp n a1 l ao3 sh iii1 q i2 sh iii2 y ie3 zh iii1 d ao4 w uo3 m en5 l iang3 g e5 sh iii4 ch u1 zh ong1 t ong2 x ve2 sp r an2 h ou4 d ao4 g ao1 zh ong1 n e5 j iou4 sh iii4 t a1 j iou4 y i3 j ing1 m ei2 y iou3 z ai4 sh ang4 x ve2 l e5 sp s uo2 y i3 t a1 sh iii4 h uei4 l ai2 x ve2 x iao4 m en2 k ou3 j ie1 w uo3 y ia5 sh en2 m e5 d e5 sp b u2 h uei4 b ei4 x ve2 x iao4 g ao1 zh ong1 d e5 l ao3 sh iii1 zh iii1 d ao4 sp ch u1 zh ong1 sh iii4 z uei4 k an2 k e3 d e5 sh iii2 h ou5 sp g ao1 zh ong1 h uei4 sh ao1 w uei1 h ao3 y i4 d ian3 sp}|就因为我那个时候不会去怎么样对一个人好不会去喜欢一个人，就是很任性的一小女孩儿。然后那个时候嘛就是，那老师其实也知道我们两个是初中同学，然后到高中呢就是他就已经没有再上学了，所以他是会来学校门口接我呀什么的，不会被学校高中的老师知道，初中是最坎坷的时候，高中会稍微好一点。
TT_chat_0045|{t a1 j iou4 sh iii4 b i3 j iao4 p i2 sp r an2 h ou4 n e5 l ao3 sh iii1 j iou4 sh iii4 h uei4 zh ao3 t a1 sp h uei4 zh ao3 t a1 r ang4 t a1 b u2 y iao4 y ing2 x iang2 w uo3 x ve2 x i2 zh ei4 zh ong3 d e5 sp}|他就是比较皮，然后呢老师就是会找他，会找他让他不要影响我学习这种的。
TT_chat_0046|{zh iii4 zh iii3 d e5 zh iii4 zh iii3 m ei2 sh en2 m e5 y iong4 q i2 sh iii2 n ei4 g e5 sh iii2 h ou5 sp y ia1 zh iii4 zh iii3 n eng2 z en3 m e5 y iang4 zh iii4 zh iii3 n e5 sp}|制止的制止没什么用其实那个时候，压制止能怎么样制止呢？
TT_chat_0047|{j iou4 sh iii4 t a1 zh iii3 sh iii4 h uei4 sh uo1 b u4 x v3 g en1 t a1 q v4 l iao2 t ian1 b u4 x v3 g en1 t a1 j iang3 h ua4 sp zh e4 sh ei2 n eng2 l an2 d e5 zh u4 w uo3 m en5 l ia3 z ai4 y i2 g e5 b an1 y ia5 sp zh e4 sh ei2 l an2 d e5 zh u4 w uo3 m en5 l ia3 y i2 g e5 y ian3 sh en2 j iou4 sh iii4 j iao1 l iou2 l an2 d e5 zh u4 m a5 sp}|就是他只是会说不许跟她去聊天不许跟他讲话，这谁能拦得住我们俩在一个班呀，这谁拦得住我们俩一个眼神就是交流拦的住吗？
TT_chat_0048|{y in1 w uei4 w uo2 b en3 sh en1 y ie3 b u2 sh iii4 g e5 ai4 x ve2 x i2 d e5 r en2 sp s uo2 y i3 j iou4 sh iii4 sp en1 h ai2 sh iii4 y iou3 f en1 d iao4 y i4 x ie1 w uo3 d e5 x in1 s ii5 sp}|因为我本身也不是个爱学习的人，所以就是，嗯还是有分掉一些我的心思。
TT_chat_0049|{d an4 sh iii4 z ong3 d e5 l ai2 sh uo1 m ei2 b u2 b u2 h ou4 h uei3 sp y ie3 b u4 j ve2 d e5 sh uo1 j iou4 sh iii4 sp j iou4 sh iii4 y in1 w uei4 y i2 g e5 r en2 b a2 w uo3 x ve2 y ie4 h uang1 f ei4 l e5 y ia5 sh en2 m e5 d e5 n a4 d ao4 m ei2 y iou3 sp}|但是总的来说没不不后悔，也不觉得说就是，就是因为一个人把我学业荒废了呀什么的那倒没有。
TT_chat_0050|{en1 t a1 y i3 j ing1 j ie2 h uen1 l e5 er2 q ie2 y iou2 b ao3 b ao5 l e5 sp}|嗯他已经结婚了而且有宝宝了。
TT_chat_0051|{m ei2 q v4 sp w uo3 t a1 j ie2 h uen1 d e5 sh iii2 h ou5 w uo3 w uo2 y i3 j ing1 z ai4 sh ang4 h ai3 l e5 sp}|没去，我她结婚的时候我我已经在上海了。
TT_chat_0052|{sh iii4 b a5 sp t a1 j iou4 sh iii4 b ai2 y iang2 z uo4 sp r an2 h ou4 n a5 t a1 sh iii4 y i4 m i3 q i1 b a1 sp m ei2 d ao4 y i4 m i3 b a1 sp}|是吧，他就是白羊座，然后呐他是一米七八，没到一米八。
TT_chat_0053|{ei2 sp t a1 sh iii4 x ian4 z ai4 x ian4 z ai4 y i4 m i3 q i1 b a1 sp d an4 sh iii4 t a1 ch u1 zh ong1 sh iii2 h ou5 h ao3 x iang4 j iou4 y i3 j ing1 y i4 m i3 q i1 l e5 sp zh iii3 sh iii4 t a1 h ou4 m ian5 zh ang3 d e5 m an4 b a5 k e3 n eng2 sp t a1 ch u1 zh ong1 d e5 sh iii2 h ou5 j iou4 sh iii4 b an1 l i2 h en3 g ao1 d e5 n an2 h ai2 z ii5 sp}|诶，他是现在现在一米七八，但是她初中时候好像就已经一米七了，只是他后面长得慢吧可能，他初中的时候就是班里很高的男孩子。
TT_chat_0054|{zh u3 y iao4 j iou4 sh iii4 j ia1 l i3 zh ao1 j i2 j iou4 j ve2 d e5 zh ei4 g e5 n ian2 l ing2 n i3 j iou4 y ing1 g ai1 j ie2 h uen1 l e5 sp}|主要就是家里着急就觉得这个年龄你就应该结婚了。
TT_chat_0055|{d uei4 j iou4 sh ang4 l ai2 j iou4 sh iii4 w uen4 n i2 y iou2 sh en3 m e5 n i3 m ei2 y iou2 sh en3 m e5 n i2 z en3 m e5 y iang4 n i2 y i3 h ou4 z en3 m e5 y iang4 sp t ai4 t ao3 y ian4 zh ei4 zh ong3 d uei4 h ua4 l e5 sp g an4 m a2 n e5 w uo3 sh iii4 m ei2 r en2 y iao4 l e5 m a5 sp}|对就上来就是问你有什么你没有什么你怎么样你以后怎么样，太讨厌这种对话了，干嘛呢我是没人要了吗？
TT_chat_0056|{s uo2 y i2 w uo3 h ai2 sh iii4 y v3 q i2 n ei4 y iang4 w uo3 h ai2 b u4 r u2 sh iii4 t ong1 g uo4 p eng2 y iou5 y ia5 r en4 sh iii5 d e5 sp}|所以我还是与其那样我还不如是通过朋友呀认识的。
TT_chat_0057|{en1 sp r iii4 j iou3 sh eng1 q ing2 b a5 y i2 j ian4 zh ong1 q ing2 sp z ong3 g uei1 l ai2 sh uo1 h ai2 sh iii4 z e5 b u2 t ai4 k ao4 p u3 sp}|嗯，日久生情吧一见钟情，总归来说还是啧不太靠谱？
TT_chat_0058|{sh iii4 sh iii4 y iou2 k e3 n eng2 d e5 sp d ou1 ch a4 b u5 d uo1 b a5 k e3 n eng2 y i3 q ian2 sh iii4 t ong2 x ing4 p eng2 y iou5 d uo1 r an2 h ou4 x ian4 z ai4 sh iii4 y i4 x ing4 p eng2 y iou5 b i3 j iao4 d uo1 sp}|是是有可能的，都差不多吧可能以前是同性朋友多然后现在是异性朋友比较多。
TT_chat_0059|{en1 sp w uo3 j ve2 d e5 g en1 y i4 x ing4 x iang1 ch u3 y iao4 b i3 j iao4 f ang4 s ong1 y i4 d ian3 x iang3 sh uo1 sh en2 m e5 j iou4 sh uo1 sh en2 m e5 x iang3 k ai1 sh en2 m e5 w uan2 x iao4 k ai1 sh en2 m e5 w uan2 x iao4 sp d an4 sh iii4 sp n v3 sh eng1 j iou4 b u4 x ing2 h uei4 x iao3 x in1 y i4 d ian3 sp y in1 w uei4 n v3 sh eng1 g an3 j ve2 h ai2 sh iii4 h uei4 x in1 s ii5 b i3 j iao4 m in2 g an3 sp j iou4 h uei4 k e3 n eng2 w u2 y i4 j ian1 j iou4 ch u4 d ao4 n a3 g e5 d ian3 sp}|嗯，我觉得跟异性相处要比较放松一点想说什么就说什么想开什么玩笑开什么玩笑，但是，女生就不行会小心一点，因为女生感觉还是会心思比较敏感，就会可能无意间就触到哪个点。
